order_id,item_price,quantity,item_name,created_at,delivery_address1,delivery_address2,delivery_city,delivery_zipcode,delivery
ORDER001,6,5,Espresso,3/12/2023 8:03,"P.O. Box 965, 1549 Ut, Rd.",,Green Bay,94444,TRUE
ORDER002,8,2,Latte,12/1/2023 7:12,Ap #393-7402 Tincidunt St.,,Denver,88365,TRUE
ORDER003,8,5,Glace,3/1/2023 18:03,9465 Euismod Ave,815-6064 Risus. Road,Helena,21125,TRUE
ORDER004,8,1,Cocoa,6/1/2023 17:06,Ap #717-420 Luctus Rd.,Ap #773-2804 Vel Avenue,Colorado Springs,36285,TRUE
ORDER005,8,4,Mocha,11/7/2023 6:11,Ap #589-3031 Nulla Avenue,,South Burlington,71661,TRUE
ORDER006,5,3,Chocolate,4/1/2023 22:04,4180 Ut Av.,,Lewiston,88352,TRUE
ORDER007,7,4,Flat White,6/11/2023 5:06,788-4512 Libero Avenue,,Columbus,41907,TRUE
ORDER008,7,3,Cappuccino,9/10/2023 5:09,Ap #798-4763 Feugiat. Av.,,Virginia Beach,20528,TRUE
ORDER009,7,4,Cafe Latte,6/11/2023 4:06,"Ap #610-2333 Elementum, Rd.",,Norman,15917,TRUE
ORDER010,6,2,Espresso,8/6/2023 22:08,Ap #597-2741 Diam Street,,Norfolk,79204,TRUE
ORDER011,6,2,Espresso,5/1/2023 7:05,Ap #377-1064 Tincidunt Avenue,,Lewiston,47426,FALSE
ORDER012,6,2,Espresso,2/1/2023 3:02,3801 Nam Rd.,,Kailua,92210,FALSE
ORDER013,6,2,Espresso,1/9/2023 6:01,790-6709 Donec Rd.,,West Jordan,63883,FALSE
ORDER014,6,2,Espresso,10/1/2023 15:10,543-3992 Turpis. Street,,West Jordan,38759,TRUE
ORDER015,6,3,Espresso,4/1/2023 12:04,612-5241 Amet Street,,Indianapolis,44162,TRUE
ORDER016,6,5,Espresso,8/5/2023 18:08,Ap #534-8425 Nisi. Road,,Henderson,71656,TRUE
ORDER017,6,3,Espresso,11/1/2023 1:11,Ap #168-8860 Nunc Avenue,Ap #704-3702 Phasellus Rd.,Evansville,21252,FALSE
ORDER018,6,3,Espresso,8/12/2023 23:08,487-6324 Sem Rd.,,Juneau,47273,TRUE
ORDER019,6,4,Espresso,9/4/2023 7:09,794-4318 Nulla Avenue,,Henderson,38428,TRUE
ORDER020,6,4,Espresso,10/1/2023 21:10,219-5001 Feugiat Av.,,Erie,16543,TRUE
ORDER021,6,3,Espresso,5/1/2023 12:05,7702 Nibh Avenue,,Colchester,16236,TRUE
ORDER022,6,1,Espresso,12/1/2023 23:12,Ap #187-2589 Id Rd.,,Gaithersburg,71176,TRUE
ORDER023,6,2,Espresso,7/1/2023 2:07,373-3757 Ante Av.,,Cincinnati,40867,TRUE
ORDER024,8,4,Cocoa,6/1/2023 23:06,993-9729 Massa. Road,,Huntsville,65778,TRUE
ORDER025,8,3,Cocoa,7/1/2023 14:07,Ap #643-6920 Neque Road,,College,71721,TRUE
ORDER026,8,4,Cocoa,10/1/2023 2:10,"627-4407 Dui, St.",,Madison,81984,TRUE
ORDER027,8,2,Cocoa,7/2/2023 10:07,798-4827 Eros Street,,Carson City,94177,TRUE
ORDER028,8,2,Cocoa,5/1/2023 10:05,Ap #187-3209 Tristique Road,,Laramie,27727,TRUE
